Fecha,Ubicacion,Colonia,Municipio,Address,Tipo,Google Maps URL,latitude,longitude
44264,2 NORTE NUM 2332 Y 24 OTE,BENITO JUÁREZ (LA CANOA),ATLIXCO,"BENITO JUÁREZ (LA CANOA), ATLIXCO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9183114,-98.42870359999999",18.9183114,-98.4287036
44265,CALLE PINOS S-N,MIXQUITLIXCO,SAN PABLO ANICANO,"MIXQUITLIXCO, SAN PABLO ANICANO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.1369448,-98.0832595",18.1369448,-98.0832595
44273,CARRETERA FEDERAL 160 S-N,TEPEXCO CENTRO,TEPEXCO,"TEPEXCO CENTRO, TEPEXCO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.6404235,-98.6916928",18.6404235,-98.6916928
44280,JUAREZ NUM 54 ESQ INDEPENDENCIA,SANTA MARIA GUADALUPE TECOLA,PUEBLA,"SANTA MARIA GUADALUPE TECOLA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.006639,-98.19581199999999",19.006639,-98.195812
44284,CARR A HACIA LA HACIENDA LOS MOLINOS,SAN AGUSTÍN LOS MOLINOS,ATLIXCO,"SAN AGUSTÍN LOS MOLINOS, ATLIXCO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9483893,-98.3952206",18.9483893,-98.3952206
44289,CALLE REFORMA SUR,BUENAVISTA,XICOTEPEC,"BUENAVISTA, XICOTEPEC, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=20.2786208,-97.964259",20.2786208,-97.964259
44294,CALLE GUADLALUPE #62 ESQ CALLE ALCANFORES,SAN JUAN FLOR DEL BOSQUE,PUEBLA,"SAN JUAN FLOR DEL BOSQUE, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0318458,-98.1318077",19.0318458,-98.1318077
44308,CANAL DE VALSEQUILLO,BARRIO SAN SEBASTIÁN,TECAMACHALCO,"BARRIO SAN SEBASTIÁN, TECAMACHALCO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.853915,-97.3705639",19.853915,-97.3705639
44309,LIBRAMIENTO DE TECAMACHALCO A XOCHIMILCO,TECAMACHALCO,TECAMACHALCO,"TECAMACHALCO, TECAMACHALCO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.8819104,-97.7327256",18.8819104,-97.7327256
44314,CAMINO A STA CRUZ 1571,CHACHAPA,AMOZOC,"CHACHAPA, AMOZOC, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0475079,-98.0942681",19.0475079,-98.0942681
44314,CALLE VISTA HERMOSA NO. 33 ENTRE PRIVADA MORELOS Y PRIV VISTA HERMOSA,IGNACIO ROMERO VARGAS,PUEBLA,"IGNACIO ROMERO VARGAS, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0754163,-98.24659349999999",19.0754163,-98.2465935
44316,IGNACIO ZARAGOZA 6 ESQ AVENIDA 2 OTE,LAS CARITAS,PUEBLA,"LAS CARITAS, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0424716,-98.2112107",19.0424716,-98.2112107
44330,CARRETERA EL EMPALME XALAPA KM 3+100,CUAPIAXTLA DE MADERO,CUAPIAXTLA DE MADERO,"CUAPIAXTLA DE MADERO, CUAPIAXTLA DE MADERO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9189112,-97.8259174",18.9189112,-97.8259174
44339,AVE LIBERTAD NUM 3626 - CIPRES,GUADALUPE TLATELPA,PUEBLA,"GUADALUPE TLATELPA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.96744,-98.17364630000002",18.96744,-98.1736463
